reviews,Performance and Stability,Payment,Content,Satisfaction
Loading dan selalu putut putus padahal sudah berlangganan dan jaringan bagus,neg,,,
Bisa menonton anime favorit dari sini.,,,pos,
"Kak klo bisa updatenya jangan lama lama , nunggu seminggu lama bngttt",neg,,,
Lama banget update🤔😒 Sering erorr padahal jaringan bagus.,neg,,,
"Buffering mulu , padahal jaringan dah mantap,, uninstall aja lh , apl gk guna..",neg,,,neg
Mohon d perbaiki pemutaran video ny lama banget,neg,,,
Gangguan terus pas lagi straming woyyyyy!!! Bayar mahal mahal percuma,neg,,,neg
Saran aja nih Vidio. Enggak usah adha langganan premier segala deh. Bikin ribet. Mau nonton jadi ribet lama. Prosesnya ribet... Yang tadinya mau nonton ORI dari Vidio mending nyari yang gag ribet pake google. Males jadinya download vidio engga berguna harus langganan dulu,,neg,,neg
Mudah diakses kualitas gambar bagus yg jls sangat menghibur,pos,,,pos
Apk ini si bagus bagi kalian yang bilang banyak iklan kalian berlangganan aja,,,,pos
"Saya suka aplikasi ini bagus bisa nonton film2 dan berita2 , bermanfaat sekali.",,,pos,pos
Aplikasinya kurang bagus jadi VIP tidak mau diperpanjang malah diperpanjang,,neg,,neg
Sudah beli paket primer tapi tetap tidak bisa nonton konten primer,,neg,,
"Udah platinum masih iklan, mana iklan nya banyak",,,neg,
"Aplikasi kayak contol, lemot, mau aktif paket susah sekali",neg,neg,,neg
Apk nya sebenarnya baguss.. tp skrg aktifin pketnya ga bisa bayar lewat pulsa .. 😁😁,,neg,,pos
Kebanyakan iklan dan loading terlalu sering,neg,,neg,
Masih banyak iklan Tpi tiap x nya di suruh update 😑,neg,,neg,
Iklan nya banyak dan kadang Vidio nya loading Gx bisa di tonton lagi,neg,,neg,
"Sangat mengecewakan, saya sudah beli paket berapa kali tapi tidak aktif²",,neg,,neg
Sdah berlangganan masih ada iklan.. Luar biasa,,,neg,neg
"Notif nya ga nyantai,ganggu,banyak iklan,langganannya mahal,ngelag,bad service",neg,neg,neg,neg
Aneh gak bisa update primer jadi malas dehh sama apk nyaa.,neg,,,neg
Kenapa sih harus berlangganan dulu Pas nonton film bisa gk harus belangganan dulu eh pas mau nonton bola harus bayar,,neg,,
Sampah apk ini... jaringan stabil pun suka error,neg,,,neg
Kok gk bisa beli paketnya ya. Pdhal udah ada pulsa ny.,,neg,,
Bagus mntap.klu bisa setiap di update paket langganan yg baru dibeli jgn hilang,neg,,,pos
"Adminnya suka baper se enaknya aja banned yg langganan, trus tayangannya juga sering ngelag, klau kaya gini terus no way langganan lagi, admin busuk",neg,,,neg
Pulsa sudah terpotong tapi paket tidak aktif buruk sekali aplikasinya,,neg,,
Saran aja..banyakin film nya deh..nanti kalo dah banyak kan enak kalo beli paket film nya,,,neg,
Ya aplikasi dikit dikit berhenti nggak tau kenapa juga nggak bisa di buka,neg,,,
"apa coba streaming tv lokal pake bayar, nyari untung bgt",,neg,,
"Kenapa sekarang tidak bisa pembayaran berlangganan pake pulsa ,tolong min",,neg,,
"Good banget aplikasi nyaa , buat nonton juga gak nge lag !! , Thankyouuu 👍🏻👍🏻",pos,,,pos
"Sy tdk suka iklan, tolong iklan apan pun jgn masuk di akun sy",,,neg,
Kurang memuaskan soalnya sering ngelag banyak iklannya juga,neg,,neg,neg
"Gak profesional, sering terjadi lag/putus sambungan, nyesel berlangganan",neg,,,neg
"Kenapa harus berbayar dan acak, tolong perbaikan ini biar kami bisa menonton live",neg,neg,,
Percuma bayar tapi ga bisa langsung aktif. Kecewa berat!,,neg,,neg
Gimana sih udh dibeli kok premiumnya malah gabisa pulsa udh dipotong tolong dong,,neg,,
"Kenapasih aplikasi video sering cepet ngabisin kouta,baru aja download 2 video udah setengah gb aja,argh udah lah block aja aplikasi ini selagi masih ngabidin kouta",neg,,,neg
"Apk ""vidio"" emang favorit bagi saya,karena bisa menonton tv lewat hp, asalkan ada internet,... yaa mungkin segini saja ulasan buat apk ""vidio"",, makasih vidio😊😅",,,,pos
Download aplikasi Vidio karna pengen nostalgia nonton FTV atau drama SCTV yg dah lama tapi malah uploadnya setengah setengah ini aplikasi resmi SCTV kan tapi kaya gak niat banget saran aja ya kalau emang dari awal gak niat d lanjut ya udah gak usah d upload dari pada setengah-setengah kesel aku tuh d gantungmulu🥺,,,neg,neg
"Metode pembayaran pulsanya agak ribet, mungkin saya yg belum terbiasa 🙏🙏",,neg,,
Lebih suka pake yang web kalo pake apk muter muter terus lama..,neg,,,
Tolong iklan nya dihapus ya plisss 🙏🙏 Tiap nonto 1 menit keluar iklan nya,,,neg,
masa mau nonton video yang udah tayang di youtube ajja mesti liat ekstra nya mending nonton youtube ga ribet langsung joss lah ini udah iklan lama harus bayar lagi,,neg,neg,
Udah dibeli paketnya. Anda sudah memiliki item ini. Tapi gak bisa nonton. Parahhhh,,neg,,neg
Aplikasinya susah dijalankan. Untuk aktivasi paket sj susahnya minta ampun.,neg,,,
"Semenjam di update jadi susah buat berlangganan, bahkan selalu gagal",neg,,,
Udah bayar paket malah nggak bisa lihat aff... rugi.. alasan gangguan terus... nyesel,neg,,,neg
"Pdhal selalu berlangganan biar nggak ketinggalan live piala presiden,giliran club kebanggaan main palah nggak bsa di buka,pdhl msh ada paket premiumnya,udh di uninstal msuk lagi ttp ajaa",neg,,,
"Nonton di HP lancar jaya, saat disambungkan ke TV loading terus",neg,,,
"binggun untuk beli paket nya, sudah ada shopeepay tapi tidak bisa di aktifkan",,neg,,
Sudah beli paket premium buat nonton tapi ga bisa nonton kenapa ya?,,neg,,
"Vidio ini berguna banget loh, kalau misalkan kalian gk punya tv bisa nonton di sini, ayo buruan download Vidio 😎",,,,pos
"Banyak hiburan & tambah siaran TV nasional dan luar , mantap",,,pos,pos
Subtitle delay ga nyaman saat nonton,neg,,,neg
"Luar biasa bagus keren hebat is the best pokoknya..mantap👍,ada kekuranganya kak tolong diusahain perbarui diperbagus lagi aplikasinya pahamkan kak maksud aku🙏🙏🙏aku kasih bintang 2 aja",neg,,,neg
Cukup baik dan lengkap videonya tinggal pilih saja.,,,pos,pos
"Bagus banyak acara olahraganya, tetap konsisten min",,,pos,pos
"Udah bayar ngak bisa nonton, saldo udah berkurang,",,neg,,
Bagus sih bagus knp harus di bayar klo mau nonton yg durasi nya lebih lama 😏,,neg,,pos
"knp gak bisa dibuka, padahal masih aktif langganan premier ,payaah",neg,,,neg
Vilm nya terlalu sedikit saran aja mohon di banyakin lagi vilm² ny ntar klau dah banyak baru saya kasih bintang 5,,,neg,
Udah isi pulsa di dua nomor buat aktifin premier lagi eh malah gabisa 😭padahal biasanya bisaaa sayang kan pulsanyaaa,,neg,,
Makin susah aja berlangganan sekarang..tdi nya gampang harus dibebankan pake pulsa..sekarang ribet,,neg,,
"Iklannya sangat agresif, muncul iklan pop up ditengah vidio",,,neg,
"Nonton lebih memuaskan , cuma banyak yg premium jadi kita harus beli dulu sebelum nonton",,neg,,pos
"Saya mau nonton final championship jadi saya berlangganan, pas udah bayar eh malah menunggu proses keburu habis pertandingannya. Tanggung jawab dong",,neg,,neg
"Bagus sih, cuma tolong cara transaksinya di mudahkan🙏",,neg,,pos
bagus sekali tampilan gambarnya tanpa ada semutnya,pos,,,
"Dg adanya aplikasi Vidio sangat memuaskan dan membatu, melihat hiburan jg olah raga yg tidak tayang pd chanel TV umumnya",,,pos,pos
Kecewa banget si kenapa pembayaran pakai pulsa sudah tidak bisa ?,,neg,,neg
Kenapa ko daftar video premier ga bisa ya pake pulsa. Gagal terus..,,neg,,
Terima kasih vidio akhirnya liga inggris akan live juga. Semoga dengan harga yang sedikit berbeda dari sebelumnya kualitas dan kenyamanan livenya akan terjamin dan tidak mengecewakan. Terima kasih.,pos,,,pos
Per episode knpa gx bisa full film..hanya tayang beberapa menit saja,,,neg,
"Langganan mahal2 tapi buat nonton liga Inggris Gangguan dari tadi, ga jelassss Balikin duit gwe lah, app sampah",neg,,,neg
ini maksudnya apa nih apk nya ngelag terus ke kuota nya boros lagih tolong perbaiki lagi,neg,,,neg
Padahal aktifin paketan melalui shoppe biasa nya bisa dan tinggal tulis kode voucher eh kenapa JD ga bisa ya dan ga ada buat tulisan tambahkan kode voucher nya..,,neg,,
"saya kasih bntang 3dulu. nnti klu sdh lancar, baru di tambah bintang nnya",neg,,,neg
Aplikasi sangat bagus sangat membantu saat listrik mati makasih,,,,pos
"kualitas siaran langsung sangat buruk, kaya sempak belum dicuci.",neg,,,neg
Aplikasi ga jelas gw mau buka berlangganan paket utama ngelag Mulu padahal jaringan bagus,neg,,,neg
Banyak iklan kadang juga sering eror sesudah iklan,neg,,neg,
Ada yg tahu cara berhenti langganan.pulsa langsung di potong tanpa konfirmasi.please yg tau berkabar dong,,neg,,
"Untuk daerah saya Kho lelet yah ...,tolong dong diperbesar penguatnya selvernya.",neg,,,
Saya sangat suka dengan aplikasi ini karna sekarang nonton pake digital udah Gk bisa lagi,,,,pos
Tonton hiburan makin mudah cukup dengan genggaman tangan.,,,,pos
"Saya Dapat Primer vidio dr Setiap beli paket ketika Di Klaim di Vidio malah gak bisa, tolong dong cs via WhatsApp biar gambar Klo komplain",,neg,,
"Murka gw sama apk ini, masa live timnas aja harus beli diamon, makin ke depan kok makin nganar,",,neg,,neg
"Seru.. Dari acara sport, hiburan sangat mudah menikmati",,,,pos
Bagus banget aplikasinya membantu buat yang suka nonton film dan gak ada tv bisa download ini,,,,pos
"sama aja nonton iklan,banyak banget iklannya",,,neg,
Ko saya ngga bisa berlangganan yah loading aja coba perbaikin dong ntar baru saya kasih bintang 5,neg,,,
"Min tolong laliga kembaliin lagi kek Musim kemarin match nya banyak yang disiarkan, semenjak ada EPL jadi sedikit banget match yang disiarkan, jadi agak nyesel langganan",,,neg,neg
"Payah, bner udah berlangganan eror terus , Jadi ga bisa nonton dengan nyaman.",neg,,,neg
"Tidak bisa dibuka hanya putar"" padahal sudah berlangganan dan pulsa kepotong",neg,,,
"sudah bayar premium, tapi akun ngga beruban premium.",,neg,,
"Saya sudah beli paket platinum,tapi kenapa di bisa di gunakan.pulsa sudah terpotong.",,neg,,
Sering erorr dan sering berhenti..bukan sekali 2x tapi sering banget,neg,,,
"Sangat menyenangkan nonton di Vidio , film2 berkualitas & bagus",,,pos,pos
Mantap tpi iklan nya terlalu banyak,,,neg,pos
Aku kasih bintang 5 karena aplikasinya bagus banget gak jelek kok untuk kalian yang liat komentar yang lain jangan percaya itu bohong aplikasi nya jelek padahal ini gak jelek aplikasinya,,,,pos
"Saya sudah mengaktifkan premier 7 hari kok nggak bisa di buat nonton , malah di suru ngaktifkan lagi , solusinya gimana ??",,neg,,
"Knapa ya kok vidio ya ser ing eror mulun stiap d pake , padahal buka ya juga pke wifi..",neg,,,
Percuma langganan tapi gangguan terus ngk bisa nonton..,neg,,,
"Loadingnya terlalu lama, apk nya di uninstal lagi",neg,,,neg
"sudah bayar paketan demi lihat liga champion, eh gak aktif2 ampe pertandingan selesai.. Suuu..",,neg,,neg
"Bangkeeee kenapa sihhhh lelet berat bangettttttt si videooo,. . Tampilan nya sih oke komplittt tapi ngehek jaringan nyaa",neg,,,neg
"Aplikasi ngen...., mau beli langganan aja susah. bubar aja udah mending streaming pake link aja",,neg,,neg
"Saldo udah dipotong, langganan blm aktif, laporan tidak ditanggapi",,neg,,
"Koneksi tidak stabil, rugi beli paketnya",neg,,,neg
Udah dibeli paketnya lah ko malah gk bisa masuk pakai fb kan lucu 🤣 menyebalkan kirim bantuan gk tau kapan diresponnya 🤣,,neg,,
"Jadi aku kan mau beli premier pake voucher tapi kok tempat untuk masukkan kode voucher nya ga ada (ga muncul) ini harus gmn? Udh di update juga tetap ga ada, ini cuma tinggal masukkin kode vouchernya",,neg,,
Untuk volume suara sponsor keras banget waktu pakai headset bikin sakit telinga,neg,,,
Benahin aplikasi dulu lah bug terus tiba² keluar akun mau masuk gak bisa,neg,,,neg
Pembayaran sudah berhasil tapi premium belum aktif,,neg,,
"Ah Buruk, udah nontonya beli paket, buka aplikasi masih ada iklan lagi",,neg,neg,neg
Iklanya sangat menggangu sekali .... Sewajarnya aja klu ada iklan,,,neg,neg
Banyak iklannya mending iklannya berguna udah nggak bisa diskip kimak,,,neg,neg
Bagus.. banyak yg gratis.. iklannya dikit,,pos,pos,pos
Bagus aplikasinya.ada yang kurang diperkuatkan lagi jaringannya.,neg,,,pos
"Mantap banget bisa buat nonton film,TV, bola mantap pokonya",,,pos,pos
Streaming bola kok macet² padahal jaringan internet bagus hadeh padahal udah langganan,neg,,,neg
Kenapa ya mau buka video gak bisa di aplikasi ini pdhl ud download ada tulisan aplikasi tidak menanggapi,neg,,,
"Aplikasi yg bagus dan jarang ada iklannya.. Trimakasih vidio kmu udh nemenin hari"" ad nonton sinetron ke sayangan",,,pos,pos
"Video gk mau muter, iklan terlalu banyak",neg,,neg,
"Sangat Bagus Tp klo pake internet batas wajar suka lag kga bisa nonton,",neg,,,pos
Sy keluhkan metode pembayarannya kenapa sudah tidak bisa bayar melalui indomaret.pdhal lebih memudahkan,,neg,,
"Percuma ada tombol searching, tapi pas di cari gak ada, harus nyari videonya satu²",neg,,,
Sudah aktifkan paket berlangganan masih juga ngga bisa buka yang Platinum,,neg,,
Aplikasi ini udah bagus tapi rcti kok kagak ada bisa di stel ulang kagak rcti harus ada younow 😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈😈,,,neg,pos
Udah langganan tetep banyak iklannya... hmmm kepaksa nonton disini karena pengen nonton rudy habibie movie tapi habibie ainun 3 nonton di lapak kuning yang ga ada iklan kalo langganan,,,neg,
Video nya macet macet tapi durasi tetap berjalan,neg,,,
Video nya sudah di unduh tapi di video HP nggak ada ya tidak tersimpan,neg,,,
Kenapa premier aktifnya gak ada.. jadi gak bisa daftar premier.. tolong dong masukannya gimana daftarnya?,,neg,,
"Aplikasinya bagus, sangat membantu dan rekomendasi.",,,,pos
"Payah, setelah beli paket EPL tahunan tapi tidak bisa di putar",neg,,,neg
Kurangin dikitlah iklannya dan kualitas gambarnya turunin masa kuota gua abis cuma nonton iklannya doang,neg,,neg,
"Kebanyakan iklan, iklan gak bermutu pula",,,neg,
Bagus dan menarik sekali. Saya senang dan sangat menikmati banyak film favorit saya,,,,pos
"Gopay sudah di tarik tapi belum bisa nonton premium , 🤪🤪🤪 pelayanan nya lemot",,neg,,
Setelah Pembelian Paket...Pembayaran sudah dilakukan tapi paket tidak aktif...,,neg,,
"Mau beli paket premium tapi gagal terus, app error apa gimana sih",neg,,,
Its so beautifulll...jngan lupa buat kalian semua nnton semua kartun ataupun apapun itu di aplikasi video aja okeyy🤗❤️🖤,,,,pos
Oke bagus... Kalau bisa lebih banyak promonya.. 😁😁,,neg,,pos
"Sudah bayar eh tau2nya tidak bsa , akh rugi lah beli paketnya 1 bulan. Gk jelas juga",,neg,,neg
nonton timnas Thailand gratis nonton timnas Indonesia bayar.. walaupun g seberapa cm jijik aj... buat negri sendiri ja d komersilin..,,neg,,neg
Aplikasi ini dpt mmbntu kita untk bisa melihat kembali sinetron yg ketinggalan,,,pos,pos
"Gini amat EMTEK Grup nyari uang, masa udah isi lenggahan primer pulsa jg udah habis buat bayar eh gak bisa nonton bola, palah disuruh bayar lagi, ini sebenarnya mau nipu apa gimana",,neg,,neg
"Wifi kenceng download.. youtubean ,paket premium tapi eror"" an streaming nonton EPL waduh buat kecewa pelanggan",neg,,,neg
Mohon iklan di batasi durasinya sampai 30 detik saja jangan sampai 1 menit 😬😬,,,neg,
"Emmm kalau ajah ada mnc, rcti pasti lebih seruu sih aku ksih bintang 3 dulu ya kualitas vidio nya bguss koo,,,,,mohon di perbaiki lgi nyahh^_^",pos,,neg,
"Tidak bisa top up menggunakan pulsa ,sebelumnya padahal bisa .",,neg,,
"Sama yutub iklannya lebih banyak di aplikasi ini....kalo aja sinetron ppt update diyutubnya bener, moal saya donlod ni aplikasi",,,neg,neg
"Udh langganan premier ada live bola chelsea vs arsenal tdk bisa tayang di app tv, di hp normal ada yg sama?",neg,,,
Setelah iklan videonya ngak bisa lanjuat wkwk kalo begini minimal ngak usah ada iklan ah,neg,,,
"Sangat nyaman untuk nonton semuanya disini, apalagi live pertandingan sepak bola",,,pos,pos
Sudah melakukan pembelian dan pembayaran tetapi paket tidak kunjung aktif,,neg,,
"Gimana sih udah beli yg seminggu 19rb ga bisa di pake,,,beli lg yg 32rb sebulan ga bisa pake juga..Gajelas bgt sumpah,sayang bgt uang aku...",,neg,,neg
Udh bayar premium masih aja ada iklannya. Kontoll,,,neg,neg
"Mau ganti provider kartu buat aktifin paket premiun kok gak bisa ya,padahal dulu bisa",,neg,,
Setiap mau mempercepat selalu iklan gk ush download deh👎👎👎👎👎👎👎👎👎🖕,,,neg,neg
Vidio tidak bisa di buka beberapa hari ini. Padahal paket vidio masih ada. Tolong di perbaiki,neg,,,neg
"Kenapa setelah di update, video yg sdh saya download tdk bisa di tonton saat offline pdhl kan sdh sya download",neg,,,
jelek banget daftar paket saldo sudah kepotong tapi belum aktif aja,,neg,,
Tak kasih 5 yah lumayan lah app ini bagus lah buat nonton video yang kita nggak sempet lihat di tv,,,,pos
jelek banget kualitas penyiaran liga 2 kalo gak niat mending gausah deh. #TukuKuota,neg,,,neg
Beli paket diamond ternyata tidak bisa di sambungkan ke android tv!!! Nonton harus pake HP!! KECEWA,,neg,,neg
Oke sangat berguna untuk melihat siaran ulang televisi dan berita,,,,pos
Untuk melanjutkan hiburan untuk mengurangi jenuh kesini video rame sekali senang nya tinimbang di luar rumah mangyan kan !?,,,,pos
Ini gmna min mau bayar paket platinum pake pulsa gak bisa2 ket tidak terverifikasi mulu,,neg,,
"Mantaaaappppp, tapi tambahkan lagi dong canel TV nya,paling tidak untuk canel indonesianya",,,neg,pos
"Tolong untuk kartun dora the explorer dubbing indonesia dong. Dan juga sinetron lawas juga tolonv ditambah lagi terutama yang indonesia kayak pacar khayalan (shandy aulia, yogi finanda, dan nicky tirta) dan sinetronnya zumi zolla yang judulnya culunnya pacarku, dan sinetron keren pada masanya kayak violet dan disini ada setan. Terima kasih.",,,neg,
"semakin buruk aplikasi ini suak keluar2 sendiri waktu live streaming, padahla sudah bayar paket paltinum, bngsat",neg,,,neg
Tolong ya untuk iklan nya dikurangin,,,neg,
Berhenti berlangganan sejak Sep 2021 tapi sampai saat ini kartu kredit masih saja terpotong untuk biaya langganan bulan.,,neg,,
Tolong buat vidionya bisa offline dong Nanti saya kasi bintang 5,neg,,,
Udah langganan malah gak bisa nonton,,neg,,
"Tidak bisa beli paket, error mulu tiap mau beli paket premium",neg,,,
Ketika streaming sangat lemmot kalau lewat smart tv,neg,,,
Aplikasi ini bagus sih tapi lebih bagus ga ada iklannya anjig,,,neg,pos
"Berbayar nya mahal banget,dukung timnas sendiri diacak harus berbayar.parah banget dah.#boikotindosiar",neg,neg,,neg
"Sangat membantu sekali,siaran yg trtinggal kita bisa lihat dsini.",,,pos,pos
"Tolong ya iklan nya itu soalnya lagi seru"" ad iklan Tolong di kurangi iklannya",,,neg,
"Iklannya banyak bgt, gabisa di skip pula",,,neg,
Cocok nyo ⭐ 1 soalnya paket cepat habis di tambah lagi iklan nya numpuk banget..,neg,,neg,neg
Pulsa udah cukup tapi tidak nggak bisa melakukan pengisian paket primer kalo nggamau dibeli ya bilang ajaa.buang buang duit ajaa,,neg,,neg
"Liga Champions Eropa, Piala FA, Liga Spanyol, Liga Itali, Mantab Semua. apalagi kalo ada liga Inggris, terbaik dah pokoknya...",,,neg,pos
"Ini kok ga bisa liat kualifikasi motogp ya? padahal udah daftar paket prabayarnya, tapi siaran langsungnya tetep di lacak",neg,,,
"Udh maketin diamond kok gak aktif ya, padahal udh kepotong pulsa, tolong infonya",,neg,,
"Sudah langganan premier lama, sebelumnya bisa ntn U-19.. hari ini ga bisa setelah update",neg,,,
"Mau nonton acara TV bukan mau nonton iklan,kuota Ampe abis iklan Nye ga abis abis Auto UNINSTAL",,,neg,neg
Sdh beli paket prime. Malah aplikasinya lag lag mulu,neg,,,
"Banyak pilihan film nya, kualitas gambarnya juga bagus",neg,,neg,
"Saldo udah kepotong, tapi di aplikasi masih nunggu pembayaran. Tch -_-",,neg,,
"Jaringan selalu lemot kalau sepakbola, bmana nanti kalau Piala Dunia.",neg,,,
"Jaringan lag, padahal udah premium",neg,,,
Knp tidak tampil liga inggris... Tolong di perbaiki lagi ya min🙏 segera,,,neg,neg
Aplikasi ini bagus banyak iklan jadi lama iklan nya,,,neg,neg
Top dah pkokn m Gmbar bgus suara bgus sinyal lancar PERTAHANKAN atau menjadi lebih baik lagi y👍,pos,,,pos
"sudah beli paket premium kok,tetap data kuota terpotong..",,neg,,
"Metode pembayaran via Alfamart dan Indomaret tidak ada, jadi menyulitkan untuk melakukan proses pembelian",,neg,,
"Joss, biaya langganan terbilang murah utk konten yg sgt variatif.",,pos,pos,pos
Apk ini sangat keren bisa menonton ulang siaran yg terlewatkan,,,pos,pos
"Saya sudah beli paket dari mytelkomsel kok masih belum premium ya kak, padahal paketannya sudah aktif",,neg,,
Sudah beli paketan platinum ko ga masuk ya? Dan gabisa digunakan juga,,neg,,
Cukup bagus cuma kurang lengkap tolong di perlengkap bos,neg,,,pos
Setelah update lagi iklan jdi bnyak banget dan eror,neg,,neg,
"Bagus, di vidio ada grup band favorit aku Noah. Jadi aku bisa muterin lagu noah di vidio. 😍😘🥰💕",,,pos,pos
taikkkk... udah beli voucher pas di reedem berhasiilll.. tp giliran dibuka vidionya ttp gk bisa nonton... bangsaattr.... bela2 in beliii 87rb malah zonkk.. tadinya buat jajan seminggu ituu bangkeeee,neg,,,neg
Aplikasi sangat busuk...bwt ntn liga 1 aj gk bsa,neg,,,neg
"Aplikasi tay,gua mau bayar ko ngebug,udh delay aplikasi nya tambah ngebug,tay tay tay",neg,,,neg
2x langganan pulsa sudah tersedot tetapi paket primiernya gak bisa,,neg,,
Aplikasinya berbayar tidak seru !,,neg,,pos
mau melakukan pembayaran padahal pulsa cukup jadi ga bisa,,neg,,
Di perbaiki donk ka aplikasi nya tdak bisa di putar samasklii,neg,,,neg
"Suka error sendiri, tiba-tiba hubungkan coneksi",neg,,,
Terlalu banyak iklannya dan selalu error 😭😵😭...,neg,,neg,
"BINTANG nya saya tambahin 1 aja, channel RCTI ternyata sdh tdk ada d apk ini 👎👎",,,neg,neg
"Sekarang Cara daftar berlagganannya ribet susah masuk .. kecewa banget gua,padahal gua udah lama banget pake vidio",,neg,,neg
Vidionya tidak bisa diputar sudah berulangkali di coba tidak bisa,neg,,,
Ini saat bagus untuk di to tonton walau banyak iklan saya Masih Sabar :),,,,pos
"Iklannya kebnyakan,bikin lemot,nggak bisa nonton pula 😡😡😡😡",neg,,neg,neg
"Bagussss kok aplikasinya. Kalo boleh request, mau req tambahin drakor judulnya mr. Queen dongg. Masa di vidio cuma ada teaser sama behind the scenenya aja :(( Dramanya juga dong ditambahin hihi",,,neg,pos
Sudah beli paket terus sudah dapat sms dari tsel_google pembayaran berhasil pulsa jga sdah ke potong e malah pakat nya ngak aktif aktif😡😡😡,,neg,,
Klo bisa di buat tidak langganan aja.sekali paket aja.jadi tidak harus bayar perbulan.,,neg,,
Terlalu banyak iklan nya jadi gk nyaman nonton,,,neg,neg
payah ni ni lagi asik asik batttt nonton iklannya udah kaya iklan ditv 2jam an hadehhh kurangin dong bentar bentar iklan,,,neg,neg
Iklan Bgtu banyak dan leg terus menerus tolong perbaiki atau kami uninstall apknya,neg,,neg,neg
"Aplikasi kurang ajar waktu aku download film padahal udh 96% tiba"" gagal mendownload asli kureng ajar banget",neg,,,neg
Bayar nya ribet sekarang lewat gopay di tolak shoppy pay di tolak make pls gagal terus keterangan pls kurang padahal pls ada 50rb baru di isi!!! Coba kaya dulu lewat transfer metode pembayaran nya!!!!,,neg,,
"Kecewa banget sama aplikasi ini,padahal masih ada paket nonton sebulan,niat mau nonton jhoda akbar,ehh sudah dihapus jhoda akbarnya,padahal sudah episode 106,kemaren kemarenya ada full episode,sekarang dihapus😤",,,neg,neg
Buruk jaringan bagus gambar tetep burik.. Nonton bola harus berbayar mending rcti+,neg,neg,,neg
Kok sekarang ada iklannya ya ..kaya nonton tv biasa. Paling males kalo ada iklan .,,,neg,neg
"apk vidio sangat bagus dan keren, semoga bisa menjadi lebih bagus lagi",,,,pos
"Aplikasi vidio mantap banget, siarannya komplit, kualitas gambar oke poll... Puas pake aplikasi vidio",pos,,pos,pos
Apk apaan njr ini masa udh beli pket premium trs pke diskon jdi 17k tpi pas mau nonton film ga bisa +saldo jga udh ke potong gmn si,,neg,,neg
"Ini apliksi streaming paling bagus , pertahankan yaaaa . Good job",,,,pos
"Bagus aplikasinya,banyak yang bisa di ambil pelajaran bagi anak saya.",,,,pos
"Segini dulu min, Sudah daftar premier, pembyaran terverivikasi, tp status menunggu pembayaran,",,neg,,neg
"sedikit saran, tolong kasih opsi kecepatan pemutaran ya",neg,,,
Appnya bagus tapi sayang banget sering ngelag padahal jaringan saya aman. Btw admin belike cuy 😅👆,neg,,,pos
Bisa streaming liga selain sepak bola juga yang jarang terekspos,,,pos,
jadi gampang nonton liga liga benua biru,,,pos,
Iklan nya aja gratis pas udah download harus daftar premium dulu,,neg,,
"Hello video, saya sudah langganan dengan metode pembayaran melalu Indosat tetapi selalu gagal minn tolong bales alasan nya kenapa?",,neg,,
"Paket langganan masih ada masa eror mulu liat bola, mohon di perbaiki",neg,,,neg
Aplikasi yang sangat jelek kebanyakan iklan.......,,,neg,neg
Apk nya udah bagus cuma yang paling aku benci itu banyak bet cok iklannya🤬🤬🤬,,,neg,pos
Pertandingan club besar liga 1 iklan nya hampir menutupi layar hp. Padahal udah langganan 1 tahun,,,neg,
"Sudah bayar lewat pulsa Telkomsel, pulsa udah berkurang. Tapi kok masih suruh aktifkan? Gimana sih? Gak bisa nonton",,neg,,
Tingkatkan terus kualitas jaringan saat nonton bola,neg,,,
Sering lag ketika live padahal jaringan sudah bagus Semuanya berbayar memang apk no recommended,neg,neg,,neg
"Tayanganya selalu Loading, padahal sinyal kenceng,aneh,mau berlangganan 1 tahun, mending dpikir ulang",neg,,,neg
Semoga dptbd nikmati bnyak orang krna murah dan gampang bahkan sinyal nya bagus..,pos,pos,,
banyak iklan mau pilih langganan loading terus,neg,,neg,
Suka lemot dan terlalu banyak iklan nya,neg,,neg,
"Live streaming sering loading, padahal jaringan bagus",neg,,,
"Min,aku suka sih sama apk ini soalnya aku suka nonton series nya disini,tapi aku lebih suka film horor, sayang nya disini kayaknya nggak ada film horor yang mau ku tonton",,,neg,
Aplikasi ny bagus banget buat yang sering rebutan tv Ama emak,,,,pos
"Sangat jelek vidionya ga bisa di puter tapi kuota ku langsung habis gimana sih, ganti kuota aku",neg,,,neg
"Terlalu banyak iklan,jadi nonton iklan bukan vidio",,,neg,
gj gk bisa diputar banyak iklan video ny macet terus bikin emosi,neg,,neg,neg
"asw,ngeleg,masuk pake email dah bener tetep ga bisa",neg,,,neg
sudah bayar tapi paket masih belum aktif.. kecewa sangat,,neg,,neg
Apk kaya taii bayar buat streaming pas streaming malah erorr,neg,,,neg
"terlalu banyak iklan, live bola terlalu malam",,,neg,
Nyesel beli paket primer buang2 uang karena tetap banyak filem yg tidak bisa di tonton dan di ttp !,neg,,,
Kenapa RCTI sama GTV tidak ada dulu padahal ada tapi kenapa sekarang udah gak ada saya jadi sangat kecewa 👎👎,,,neg,neg
Maaf guah cuman ngasi bintang dua karena aplikasi videonya gk ada filmnku suman dikit aja apa gak ada episode dulu gitu😶,,,neg,neg
Iklannya terlalu banyak padahal sudah platinum :D,,,neg,
Mantap nonton nya semoga gak banyak iklan ya min saya kasih bintang 🌟🌟🌟🌟🌟,,,neg,pos
